"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"NEWARK";
"BAT1";"3.7V";"BAT-CELL";"PL-809797-1C";"A single cell of a battery";"";"";"";"";"";"";
"BAT2";"3.7V";"BAT-CELL";"PL-809797-1C";"A single cell of a battery";"";"";"";"";"";"";
"BAT3";"3.7V";"BAT-CELL";"PL-809797-1C";"A single cell of a battery";"";"";"";"";"";"";
"C1";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 0.1UF 25V Y5V 0603";"311-1087-1-ND";"Yageo";"";"CC0603ZRY5V8BB104";"";
"C2";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 0.1UF 25V Y5V 0603";"311-1087-1-ND";"Yageo";"";"CC0603ZRY5V8BB104";"";
"C3";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 0.1UF 25V Y5V 0603";"311-1087-1-ND";"Yageo";"";"CC0603ZRY5V8BB104";"";
"C4";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 1UF 25V X5R 0603";"311-1445-1-ND";"Yageo";"";"CC0603KRX5R8BB105";"";
"C5";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 1UF 25V X5R 0603";"311-1445-1-ND";"Yageo";"";"CC0603KRX5R8BB105";"";
"Q1";"MOSFET-NCHANNELFDD8580";"MOSFET-NCHANNELFDD8580";"DPAK";"Generic NMOS footprint";"MOSFET N-CH 40V 50A DPAK";"FDD8447L_F085CT-ND";"Fairchild Semiconductor";"";"FDD8447L_F085";"";
"Q2";"MOSFET-NCHANNELFDD8580";"MOSFET-NCHANNELFDD8580";"DPAK";"Generic NMOS footprint";"MOSFET N-CH 40V 50A DPAK";"FDD8447L_F085CT-ND";"Fairchild Semiconductor";"";"FDD8447L_F085";"";
"R1";"0.016";"R-US_R1206";"R1206";"RESISTOR, American symbol";"RES SMD 16 MOHM 1% 1W 1206";"P0.016BVCT-ND";"Panasonic";"";"ERJ8CWFR016V";"";
"R2";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1K OHM 5% 1/10W 0603";"311-1.0KGRCT-ND";"Yageo";"";"RC0603JR-071KL";"";
"R3";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1K OHM 5% 1/10W 0603";"311-1.0KGRCT-ND";"Yageo";"";"RC0603JR-071KL";"";
"R4";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1K OHM 5% 1/10W 0603";"311-1.0KGRCT-ND";"Yageo";"";"RC0603JR-071KL";"";
"R5";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1K OHM 5% 1/10W 0603";"311-1.0KGRCT-ND";"Yageo";"";"RC0603JR-071KL";"";
"R6";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1K OHM 5% 1/10W 0603";"311-1.0KGRCT-ND";"Yageo";"";"RC0603JR-071KL";"";
"R7";"4.5k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 4.53K OHM 1% 1/10W 0603";"311-4.53KHRCT-ND";"Yageo";"";"RC0603FR-074K53L";"";
"R8";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 10K OHM 5% 1/10W 0603";"311-10KGRCT-ND";"Yageo";"";"RC0603JR-0710KL";"";
"R9";"450k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 453K OHM 1% 1/10W 0603";"311-453KHRCT-ND";"Yageo";"";"RC0603FR-07453KL";"";
"R10";"1M";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1M OHM 5% 1/10W 0603";"311-1.0MGRCT-ND";"Yageo";"";"RC0603JR-071ML";"";
"R11";"1M";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 1M OHM 5% 1/10W 0603";"311-1.0MGRCT-ND";"Yageo";"";"RC0603JR-071ML";"";
"SW1";"500ASSP";"500ASSP";"500ASSP";"High current slide switch";"";"EG2483-ND";"EWSITCH";"";"500ASSP1M6QE";"";
"THERM1";"10k 3435K-B25/85 ";"RESISTOR0603_RES";"0603-RES";"Resistor";"NTC THERMISTOR 10K OHM 1% 0603";"445-2554-1-ND";"TDK";"";"NTCG163JF103FT1";"";
"TP1";"TEST_POINT_0.060IN";"TEST_POINT_0.060IN";"TESTPOINT_0.060IN";"A 60mil Testpoint";"";"";"";"";"";"";
"TP2";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"TP3";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP4";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP5";"TEST_POINT_0.060IN";"TEST_POINT_0.060IN";"TESTPOINT_0.060IN";"A 60mil Testpoint";"";"";"";"";"";"";
"TP6";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"TP7";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"TP8";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"TP9";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP10";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP11";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP12";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP13";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP14";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"TP15";"TEST_POINT_0.112IN";"TEST_POINT_0.112IN";"TESTPOINT_0.112IN";"Solder terminal, turreted";"";"";"";"";"";"40F6015";
"U$1";"UCB_CAL500MIL";"UCB_CAL500MIL";"UCB_CAL_500MIL";"";"";"";"";"";"";"";
"U1";"BQ77904";"BQ77904";"TSSOP-20/6MM";"A battery protection chip with OV/UV/OT/UT";"";"296-44599-5-ND";"TI";"595-BQ7790503PW";"BQ7790503PW";"";
