"Part";"Value";"Device";"Package";"Description";"AMAZON";"DIGIKEY";"MOUSER";"NEWARK";
"C1";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-8230-1-ND";"";"";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-8230-1-ND";"";"";
"C3";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-8230-1-ND";"";"";
"C4";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-8230-1-ND";"";"";
"C5";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-6241-1-ND";"";"";
"C6";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-6241-1-ND";"";"";
"C7";"10nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-6296-1-ND";"";"";
"C8";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C9";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C10";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C11";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C12";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C13";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C14";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C15";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C16";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C17";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C18";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C19";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C20";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C21";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C22";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C23";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C24";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-10777-1-ND";"";"";
"C25";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-13252-1-ND";"";"";
"C26";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-13252-1-ND";"";"";
"C27";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-13252-1-ND";"";"";
"C28";"10uF";"CAPACITOR0805_CAP";"0805_CAP";"0402 Capacitor";"";"490-8316-1-ND";"";"";
"C29";"10uF";"CAPACITOR0402_CAP";"0402_CAP";"0402 Capacitor";"";"490-13811-1-ND";"";"";
"C30";"22uF";"CAPACITOR0805_CAP";"0805_CAP";"0402 Capacitor";"";"490-1719-1-ND";"";"";
"D1";"DIODE";"DIODE";"0402_DIODE";"";"";"P18981CT-ND";"";"";
"D2";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"1MM_SQ_4PAD";"1mm^2 RGB LED";"";"67-2125-1-ND";"";"";
"D3";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"1MM_SQ_4PAD";"1mm^2 RGB LED";"";"67-2125-1-ND";"";"";
"E_1";"EDISON_CONNECTOR_SEGMENTED";"EDISON_CONNECTOR_SEGMENTED";"EDISON_DAUGHTER";"";"B00PTVSS4A";"";"798-DF40HC3070DS4V51";"";
"FB1";"300Ω";"FERRITE_BEAD0402";"0402_CAP";"";"";"ACML-0402-301-TCT-ND";"";"";
"FB2";"600Ω";"FERRITE_BEAD0805";"0805_CAP";"";"";"240-2390-1-ND";"";"";
"FB3";"1.5kΩ";"FERRITE_BEAD0402";"0402_CAP";"";"";"490-5216-1-ND";"";"";
"FB4";"1.5kΩ";"FERRITE_BEAD0402";"0402_CAP";"";"";"490-5216-1-ND";"";"";
"J1";"MODULE_CONTROLLER";"MODULE_CONTROLLER";"MODULE_CONTROLLER";"Controller module for signpost";"";"S9172-ND , S9169-ND";"";"";
"J2";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"CONN MICRO SD R/A PUSH-PUSH SMD";"";"HR1964CT-ND";"";"";
"J3";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"";"H122041-ND";"";"";
