Part List, Digikey Part Number, QTY
C1-2,1276-2141-1-ND,80
C11,490-1313-1-ND,40
C12-15 45,478-1129-1-ND,200
C16-44 46-61,490-1532-1-ND,1800
C3-4,478-1167-1-ND,80
C5-10,399-8827-1-ND,240
C62-63,490-3296-1-ND,80
C64-66,490-3297-1-ND,120
C67,490-5915-1-ND,40
C68-69,1276-3367-1-ND,80
D1-6 LED2 4 11 13,160-1446-1-ND,200
D7-8,296-6596-1-ND,40
FB1-5,732-1593-1-ND,100
FB6,490-5216-1-ND,20
J1,S9197-ND,20
J1,S9194-ND,20
J1 1-3,S7072-ND,80
J10,S9172-ND,20
J11,CP-102AH-ND,20
J2-3,S9195-ND,40
J4-9,H125274CT-ND,120
L1,490-5350-1-ND,20
LED1 3 10 12,160-1447-1-ND,80
LED5-9,160-1827-1-ND,100
Q1,DMN32D2LDF-7DICT-ND,20
Q2-9,SI2302CDS-T1-E3DKR-ND,160
R1,311-0.0GRCT-ND,40
R12-15,311-47GRCT-ND,160
R16-39,311-1.0KGRCT-ND,960
R2-5,WSLPB-.017CT-ND,160
R40-42,311-1.5KGRCT-ND,120
R43-54,311-2.0KJRCT-ND,480
R55-72,311-10KGRCT-ND,720
R6-11,311-27JRCT-ND,240
R73-86,311-15KGRCT-ND,560
R87-90,311-100KGRCT-ND,160
R91-96,311-10MGRCT-ND,240
S1-2,AP2401MP-13DICT-ND ,40
S11,CKN10703-ND,20
S12-13,SIP32402ADNP-T1GE4CT-ND,40
S14-18,296-15258-1-ND,100
S19,450-1602-ND,20
S3-8,SW1020CT-ND,120
S9-10,NC7SZ157P6XCT-ND,40
TP1-18 20-21 23-25 27-58 1001 1002 1003 1004 1005 1006,5001K-ND,1220
U1,768-1307-ND,20
U12,MAX8887EZK33+TCT-ND,20
U13-14,MCP23008-E/ML-ND,40
U15,296-20960-1-ND,20
U16,ATSAM4LC8AA-MU-ND,20
U17-20,296-17014-1-ND,80
U2,769-1307-ND,20
U21-23,296-24684-1-ND,60
U24,296-37871-1-ND,20
U3,770-1307-ND,20
U4,771-1307-ND,20
U5,772-1307-ND,20
U6-7,FXMA2102UMXCT-ND,40
U8-11,LTC2941IDCB#TRMPBFCT-ND,80
X1,FH1600015CT-ND,20
Y1,535-10156-1-ND,20
