"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"RICHARDSON_RFPD";
"A1";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-ANTENNA-FR05-S1-N-0-102";"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,";"";"";"Fractus";"";"FR05-S1-N-0-102";"FR05-S1-N-0102B";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"";"497-13637-1-ND";"";"511-BAL-NRF01D3";"";"";
"C1";"0.8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.8PF 50V C0G/NP0 0402";"490-6269-1-ND";"Murata";"";"GRM1555C1HR80BA01D";"";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C3";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C4";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C5";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C6";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C7";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C8";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 33PF 250V C0G/NP0 0603";"712-1342-1-ND";"Johanson";"";"251R14S330JV4T";"";
"C9";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C10";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C11";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C12";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C13";"56pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 56PF 50V C0G/NP0 0402";"490-1288-1-ND";"Murata";"";"GRM1555C1H560JA01D";"";
"C14";"1nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 1000PF 50V X7R 0402";"490-1303-1-ND";"Murata";"";"GRM155R71H102KA01D";"";
"C15";"1nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 1000PF 50V X7R 0402";"490-1303-1-ND";"Murata";"";"GRM155R71H102KA01D";"";
