"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"NEWARK";
"!CS";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"C1";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C3";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1415-1-ND";"Murata";"";"GRM1885C1H330JA01D";"";
"C4";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1415-1-ND";"Murata";"";"GRM1885C1H330JA01D";"";
"C5";"100pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1427-1-ND";"Murata";"";"GRM1885C1H101JA01D";"";
"C6";"100pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1427-1-ND";"Murata";"";"GRM1885C1H101JA01D";"";
"C7";"360pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1440-1-ND";"Murata";"";"GRM1885C1H361JA01D";"";
"C8";"360pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1440-1-ND";"Murata";"";"GRM1885C1H361JA01D";"";
"C9";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C10";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C11";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C12";"1.2nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-13298-1-ND";"Murata";"";"GCM1885C1H122JA16D";"";
"C13";"1.2nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-13298-1-ND";"Murata";"";"GCM1885C1H122JA16D";"";
"C14";"3.3nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1503-1-ND";"Murata";"";"GRM188R71H332KA01D";"";
"C15";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C16";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
