"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MANUFACTURER";"MPN";
"A1";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"H122041-ND";"Hirose";"U.FL-R-SMT-1(01)";
"A2";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"H122041-ND";"Hirose";"U.FL-R-SMT-1(01)";
"A3";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"H122041-ND";"Hirose";"U.FL-R-SMT-1(01)";
"ADBG";"MOLEX_73251-135X";"MOLEX_73251-135X";"SMA-J/PCB";"SMA JACK SMT 50 OHM";"WM9357-ND";"Molex";"0732511350";
"C1";"4.3pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6243-1-ND";"Murata";"GRM1555C1H4R3BA01D";
"C2";"4.3pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6243-1-ND";"Murata";"GRM1555C1H4R3BA01D";
"C3";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6241-1-ND";"Murata";"GRM1555C1H470FA01D";
"C4";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6241-1-ND";"Murata";"GRM1555C1H470FA01D";
"C5";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6241-1-ND";"Murata";"GRM1555C1H470FA01D";
"C6";"220pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-1293-1-ND";"Murata";"GRM1555C1H221JA01D";
"C7";"3.3nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1503-1-ND";"Murata";"GRM188R71H332KA01D";
"C8";"10nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-4516-1-ND";"Murata";"GRM155R71H103KA88D";
"C9";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"GRM188R71C104KA01D";
"C10";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6328-1-ND";"Murata";"GRM155R71C104KA88J";
"C11";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-6328-1-ND";"Murata";"GRM155R71C104KA88J";
"C12";"1uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-1320-1-ND";"Murata";"GRM155R60J105KE19D";
"C13";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-5915-1-ND";"Murata";"GRM155R60J475ME47D";
"C14";"10uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-6405-1-ND";"Murata";"GRM188R60J106ME47J";
"C15";"22uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-7611-1-ND";"Murata";"GRM188R60J226MEA0D";
"D1";"GREEN";"LED0603";"LED-0603";"LED";"160-1446-1-ND";"Lite-ON";"LTST-C191KGKT";
