Time;channel_11;channel_12;channel_13;channel_14;channel_15;channel_16;channel_17;channel_18;channel_19;channel_20;channel_21;channel_22;channel_23;channel_24;channel_25;channel_26
2016-08-08T17:42:36.340Z;-95;-87;-96;-96;-94;-89;-83;-96;-97;-102;-99;-95;-95;-97;-100;-100
2016-08-08T17:42:38.987Z;-88;-83;-93;-91;-95;-86;-94;-94;-99;-100;-98;-97;-98;-97;-100;-98
2016-08-08T17:42:41.636Z;-95;-51;-51;-94;-97;-100;-98;-98;-95;-102;-98;-100;-100;-100;-101;-100
2016-08-08T17:42:44.284Z;-95;-94;-90;-93;-94;-98;-97;-91;-99;-102;-94;-94;-98;-101;-99;-99
2016-08-08T17:42:46.932Z;-98;-93;-89;-96;-90;-94;-89;-94;-98;-100;-99;-96;-94;-99;-101;-96
2016-08-08T17:42:49.581Z;-94;-86;-90;-86;-98;-85;-97;-98;-91;-97;-99;-99;-96;-94;-100;-99
2016-08-08T17:42:52.229Z;-94;-90;-95;-99;-95;-94;-99;-100;-101;-100;-97;-98;-99;-102;-100;-98
2016-08-08T17:42:54.877Z;-87;-92;-86;-95;-95;-93;-89;-85;-96;-99;-97;-98;-98;-98;-99;-98
2016-08-08T17:42:57.526Z;-96;-91;-92;-84;-96;-91;-99;-101;-91;-96;-96;-95;-99;-99;-97;-98
2016-08-08T17:43:00.175Z;-92;-87;-87;-96;-93;-90;-96;-88;-100;-102;-100;-95;-94;-100;-101;-98
2016-08-08T17:43:02.823Z;-96;-93;-97;-90;-95;-100;-95;-92;-93;-98;-100;-98;-97;-99;-100;-100
2016-08-08T17:43:05.471Z;-95;-96;-94;-96;-98;-96;-96;-94;-93;-99;-99;-99;-100;-101;-99;-97
2016-08-08T17:43:08.119Z;-85;-86;-81;-88;-97;-95;-84;-87;-97;-100;-98;-95;-93;-99;-99;-99
2016-08-08T17:43:10.768Z;-97;-90;-87;-100;-93;-98;-98;-93;-91;-100;-100;-95;-98;-100;-100;-100
2016-08-08T17:43:13.417Z;-92;-95;-86;-97;-93;-96;-92;-100;-100;-101;-99;-96;-94;-99;-101;-100
2016-08-08T17:43:16.065Z;-97;-96;-88;-87;-98;-97;-90;-100;-100;-101;-100;-98;-100;-99;-101;-100
2016-08-08T17:43:18.712Z;-99;-91;-89;-91;-97;-97;-98;-96;-98;-98;-95;-98;-99;-99;-99;-97
2016-08-08T17:43:21.361Z;-93;-88;-84;-92;-93;-98;-99;-99;-96;-100;-95;-94;-94;-100;-99;-100
2016-08-08T17:43:24.009Z;-92;-86;-91;-94;-95;-96;-87;-98;-94;-98;-101;-89;-91;-99;-101;-101
